"Commune";"insee";"Bestiole";"N";"An";"tetes";"ugb"
"Saint-Pierre";97416;"Porcins";61;2000;7150;NA
"Saint-Philippe";97417;"total bovins";0;2010;0;0
"Saint-Philippe";97417;"total bovins";NA;2020;NA;NA
"Saint-Philippe";97417;"total équins";0;2010;0;0
"Saint-Philippe";97417;"total équins";NA;2020;NA;NA
"Saint-Philippe";97417;"total porcins";7;2010;531;NA
"Saint-Philippe";97417;"total porcins";7;2020;368;NA
"Saint-Philippe";97417;"total volailles";42;2010;5168;NA
"Saint-Philippe";97417;"total volailles";29;2020;11334;NA
"Saint-Philippe";97417;"lapines mères";7;2010;NA;NA
"Saint-Philippe";97417;"lapines mères";NA;2020;3;NA
"Saint-Philippe";97417;"Porcins";76;1988;295;NA
"Saint-Philippe";97417;"Porcins";5;2000;399;NA
"Sainte-Marie";97418;"total bovins";26;2010;140;123,84
"Sainte-Marie";97418;"total bovins";9;2020;224;192,7
"Sainte-Marie";97418;"total équins";NA;2010;NA;NA
"Sainte-Marie";97418;"total équins";0;2020;0;0
"Sainte-Marie";97418;"total porcins";11;2010;60;16,95
"Sainte-Marie";97418;"total porcins";NA;2020;NA;NA
"Sainte-Marie";97418;"total volailles";84;2010;45719;511,581
"Sainte-Marie";97418;"total volailles";10;2020;39280;433,93
"Sainte-Marie";97418;"lapines mères";9;2010;57;9,519
"Sainte-Marie";97418;"lapines mères";0;2020;0;0
"Sainte-Marie";97418;"Bovins";112;1988;802;NA
"Sainte-Marie";97418;"Bovins";78;2000;631;NA
"Sainte-Marie";97418;"Porcins";120;1988;840;NA
"Sainte-Marie";97418;"Porcins";27;2000;144;NA
"Sainte-Rose";97419;"total bovins";0;2010;0;0
"Sainte-Rose";97419;"total bovins";NA;2020;NA;NA
"Sainte-Rose";97419;"total équins";0;2010;0;0
"Sainte-Rose";97419;"total équins";NA;2020;NA;NA
"Sainte-Rose";97419;"total porcins";3;2010;781;202,01
"Sainte-Rose";97419;"total porcins";8;2020;1277;348,43
"Sainte-Rose";97419;"total volailles";65;2010;97761;1375,139
"Sainte-Rose";97419;"total volailles";26;2020;21367;235,055
"Sainte-Rose";97419;"lapines mères";4;2010;362;60,454
"Sainte-Rose";97419;"lapines mères";NA;2020;NA;NA
"Sainte-Rose";97419;"Bovins";8;1988;21;NA
"Sainte-Rose";97419;"Porcins";84;1988;319;NA
"Sainte-Rose";97419;"Porcins";5;2000;0;NA
"Sainte-Suzanne";97420;"total bovins";16;2010;132;108,14
"Sainte-Suzanne";97420;"total bovins";9;2020;69;61,26
"Sainte-Suzanne";97420;"total équins";NA;2010;NA;NA
"Sainte-Suzanne";97420;"total équins";NA;2020;25;24,6
"Sainte-Suzanne";97420;"total porcins";15;2010;401;116,84
"Sainte-Suzanne";97420;"total porcins";3;2020;281;69,67
"Sainte-Suzanne";97420;"total volailles";94;2010;26638;322,407
"Sainte-Suzanne";97420;"total volailles";31;2020;37784;454,894
"Sainte-Suzanne";97420;"lapines mères";10;2010;416;69,472
"Sainte-Suzanne";97420;"lapines mères";5;2020;331;55,277
"Sainte-Suzanne";97420;"Bovins";45;1988;210;NA
"Sainte-Suzanne";97420;"Bovins";37;2000;199;NA
"Sainte-Suzanne";97420;"Equins";4;2000;11;NA
"Sainte-Suzanne";97420;"Porcins";92;1988;1021;NA
"Sainte-Suzanne";97420;"Porcins";12;2000;1056;NA
"Salazie";97421;"total bovins";72;2010;281;238,52
"Salazie";97421;"total bovins";38;2020;253;210,56
"Salazie";97421;"total équins";NA;2010;NA;NA
"Salazie";97421;"total équins";0;2020;0;0
"Salazie";97421;"total porcins";60;2010;9881;2861,53
"Salazie";97421;"total porcins";29;2020;10457;2626,59
"Salazie";97421;"total volailles";165;2010;270151;3281,499
"Salazie";97421;"total volailles";80;2020;470570;5718,824
"Salazie";97421;"lapines mères";26;2010;544;90,848
"Salazie";97421;"lapines mères";NA;2020;NA;NA
"Salazie";97421;"Bovins";327;1988;750;NA
"Salazie";97421;"Bovins";167;2000;494;NA
"Salazie";97421;"Porcins";368;1988;5904;NA
"Salazie";97421;"Porcins";92;2000;12010;NA
"Le Tampon";97422;"total bovins";287;2010;11957;10479,13
"Le Tampon";97422;"total bovins";231;2020;13171;11560,98
"Le Tampon";97422;"total équins";26;2010;220;204,7
"Le Tampon";97422;"total équins";12;2020;268;260
"Le Tampon";97422;"total porcins";56;2010;4354;1249,78
"Le Tampon";97422;"total porcins";19;2020;4217;1145,3
"Le Tampon";97422;"total volailles";380;2010;412147;5194,412
"Le Tampon";97422;"total volailles";87;2020;383431;4809,135
"Le Tampon";97422;"lapines mères";57;2010;1531;255,677
"Le Tampon";97422;"lapines mères";11;2020;144;24,048
"Le Tampon";97422;"Bovins";558;1988;6680;NA
"Le Tampon";97422;"Bovins";433;2000;10773;NA
"Le Tampon";97422;"Equins";7;1988;12;NA
"Le Tampon";97422;"Equins";14;2000;63;NA
"Le Tampon";97422;"Porcins";367;1988;3761;NA
"Le Tampon";97422;"Porcins";74;2000;3615;NA
"Les Trois-Bassins";97423;"total bovins";59;2010;1476;1204,76
"Les Trois-Bassins";97423;"total bovins";43;2020;1249;1042,77
"Les Trois-Bassins";97423;"total équins";NA;2010;NA;NA
"Les Trois-Bassins";97423;"total équins";0;2020;0;0
"Les Trois-Bassins";97423;"total porcins";11;2010;1438;430,07
"Les Trois-Bassins";97423;"total porcins";4;2020;1326;355,98
"Les Trois-Bassins";97423;"total volailles";50;2010;36327;449,503
"Les Trois-Bassins";97423;"total volailles";27;2020;73425;915,557
"Les Trois-Bassins";97423;"lapines mères";9;2010;195;32,565
"Les Trois-Bassins";97423;"lapines mères";NA;2020;NA;NA
"Les Trois-Bassins";97423;"Bovins";62;1988;609;NA
"Les Trois-Bassins";97423;"Bovins";80;2000;1431;NA
"Les Trois-Bassins";97423;"Porcins";208;1988;1543;NA
"Les Trois-Bassins";97423;"Porcins";26;2000;957;NA
"Cilaos";97424;"total bovins";12;2010;53;41,46
"Cilaos";97424;"total bovins";6;2020;37;33,4
"Cilaos";97424;"total équins";NA;2010;NA;NA
"Cilaos";97424;"total équins";0;2020;0;0
"Cilaos";97424;"total porcins";4;2010;8;3,04
"Cilaos";97424;"total porcins";0;2020;0;0
"Cilaos";97424;"total volailles";35;2010;2188;27,343
"Cilaos";97424;"total volailles";11;2020;712;8,822
"Cilaos";97424;"lapines mères";NA;2010;NA;NA
"Cilaos";97424;"lapines mères";NA;2020;NA;NA
"Cilaos";97424;"Bovins";97;1988;239;NA
"Cilaos";97424;"Bovins";62;2000;217;NA
"Cilaos";97424;"Porcins";107;1988;803;NA
"Cilaos";97424;"Porcins";8;2000;35;NA
